26.0027,19,0,1,0,1,1,10.66,11.365,56
0,19,1,1,0,1,1,10.66,13.635,56
0,19,2,1,0,1,1,10.66,13.635,56
11.0014,19,3,1,0,1,1,10.66,12.88,56
11.0014,19,4,1,0,1,1,10.66,12.88,56
15.0013,19,5,1,0,1,1,9.84,11.365,60
15.0013,19,6,1,0,1,1,9.02,10.605,60
15.0013,19,7,1,0,1,1,9.02,10.605,55
19.0012,19,8,1,0,1,1,9.02,10.605,55
15.0013,19,9,1,0,1,2,9.84,11.365,52
19.9995,19,10,1,0,1,1,10.66,11.365,48
11.0014,19,11,1,0,1,2,11.48,13.635,45
0,19,12,1,0,1,2,12.3,16.665,42
7.0015,19,13,1,0,1,2,11.48,14.395,45
8.9981,19,14,1,0,1,2,12.3,15.15,45
12.998,19,15,1,0,1,2,13.12,15.91,45
8.9981,19,16,1,0,1,2,12.3,15.15,49
7.0015,19,17,1,0,1,2,12.3,15.91,49
12.998,19,18,1,0,1,2,10.66,12.88,56
22.0028,19,19,1,0,1,1,10.66,11.365,56
19.0012,19,20,1,0,1,2,10.66,12.12,60
16.9979,19,21,1,0,1,2,9.84,11.365,60
19.0012,19,22,1,0,1,2,9.84,10.605,65
22.0028,19,23,1,0,1,2,9.84,10.605,65
16.9979,20,0,1,0,1,2,9.84,11.365,70
16.9979,20,1,1,0,1,2,9.84,11.365,70
11.0014,20,2,1,0,1,3,9.84,12.12,75
19.9995,20,3,1,0,1,3,9.02,10.605,80
6.0032,20,4,1,0,1,2,9.02,12.88,87
27.9993,20,5,1,0,1,1,9.84,9.85,60
16.9979,20,6,1,0,1,1,9.02,10.605,55
19.0012,20,7,1,0,1,1,8.2,9.09,51
22.0028,20,8,1,0,1,1,8.2,9.09,47
23.9994,20,9,1,0,1,1,8.2,9.09,51
31.0009,20,10,1,0,1,1,8.2,8.335,47
31.0009,20,11,1,0,1,1,9.02,9.09,41
39.0007,20,12,1,0,1,1,9.02,9.09,27
39.0007,20,13,1,0,1,1,8.2,7.575,21
35.0008,20,14,1,0,1,1,8.2,7.575,25
30.0026,20,15,1,0,1,1,6.56,6.06,26
23.9994,20,16,1,0,1,1,6.56,6.82,26
23.9994,20,17,1,0,1,1,5.74,6.06,28
16.9979,20,18,1,0,1,1,4.92,6.06,30
22.0028,20,19,1,0,1,1,4.92,5.305,30
27.9993,20,20,1,0,1,1,4.1,3.79,33
19.0012,20,21,1,0,1,1,3.28,3.79,38
26.0027,20,22,1,0,1,1,2.46,1.515,41
22.0028,20,23,1,0,1,1,2.46,2.275,38
16.9979,21,0,1,0,0,1,1.64,1.515,45
26.0027,21,1,1,0,0,2,1.64,0,41
16.9979,21,2,1,0,0,2,1.64,1.515,41
19.0012,21,3,1,0,0,2,1.64,1.515,41
19.9995,21,4,1,0,0,2,0.82,0.76,48
15.0013,21,6,1,0,0,2,0.82,1.515,44
19.0012,21,7,1,0,0,1,0.82,0.76,44
22.0028,21,8,1,0,0,1,0.82,0,44
16.9979,21,9,1,0,0,1,1.64,1.515,41
11.0014,21,10,1,0,0,2,1.64,3.03,41
8.9981,21,11,1,0,0,2,2.46,3.79,38
7.0015,21,12,1,0,0,2,2.46,5.305,38
0,21,13,1,0,0,1,3.28,8.335,35
7.0015,21,14,1,0,0,1,4.1,6.82,33
0,21,15,1,0,0,1,4.92,7.575,28
12.998,21,16,1,0,0,1,4.92,6.82,28
0,21,17,1,0,0,1,4.92,9.85,28
12.998,21,18,1,0,0,1,3.28,4.545,35
8.9981,21,19,1,0,0,1,3.28,5.305,35
11.0014,21,20,1,0,0,1,2.46,3.79,45
6.0032,21,21,1,0,0,1,2.46,5.305,41
